abbr,name,lean_2000,lean_2004,lean_2008,lean_2012,lean_2016,lean_2020,lean_2024,ratioD_2000,ratioD_2004,ratioD_2008,ratioD_2012,ratioD_2016,ratioD_2020,ratioD_2024,ratioD_2028,normD_2000,normD_2004,normD_2008,normD_2012,normD_2016,normD_2020,normD_2024,normD_2028,normR_2000,normR_2004,normR_2008,normR_2012,normR_2016,normR_2020,normR_2024,normR_2028,lean_latest,ratio_latest,normD_2028
AL,Alabama,-15.4,-23.3,-28.8,-26.0,-29.7,-29.9,-29.0,0.864,0.765,0.734,0.753,0.716,0.713,0.706,0.707,43.2,38.3,36.7,37.7,35.8,35.7,35.3,35.3,56.8,61.7,63.3,62.3,64.2,64.3,64.7,64.7,-29.0,0.706,35.3
AK,Alaska,-31.4,-23.2,-28.7,-17.9,-16.7,-14.5,-11.7,0.575,0.738,0.718,0.802,0.761,0.834,0.857,0.890,28.7,36.9,35.9,40.1,38.1,41.7,42.9,44.5,71.3,63.1,64.1,59.9,61.9,58.3,57.2,55.5,-11.7,0.857,44.5
AZ,Arizona,-6.8,-8.1,-15.7,-13.0,-5.6,-4.2,-4.1,0.929,0.922,0.855,0.876,0.940,0.963,0.966,0.977,46.5,46.1,42.8,43.8,47.0,48.1,48.3,48.9,53.5,53.9,57.2,56.2,53.0,51.9,51.7,51.1,-4.1,0.966,48.9
AR,Arkansas,-5.9,-7.4,-27.0,-27.6,-28.9,-32.1,-29.2,0.953,0.925,0.737,0.724,0.701,0.678,0.695,0.697,47.6,46.3,36.8,36.2,35.0,33.9,34.8,34.9,52.4,53.7,63.2,63.8,65.0,66.1,65.3,65.1,-29.2,0.695,34.9
CA,California,11.2,12.3,16.8,19.2,28.1,24.7,21.6,1.110,1.128,1.156,1.183,1.286,1.238,1.210,1.184,55.5,56.4,57.8,59.2,64.3,61.9,60.5,59.2,44.5,43.6,42.2,40.8,35.7,38.1,39.5,40.8,21.6,1.210,59.2
CO,Colorado,-8.9,-2.3,1.8,1.5,2.9,9.1,12.5,0.881,0.977,1.017,1.011,1.003,1.073,1.120,1.173,44.0,48.9,50.8,50.6,50.1,53.7,56.0,58.6,56.0,51.1,49.2,49.4,49.9,46.3,44.0,41.4,12.5,1.120,58.6
CT,Connecticut,17.0,12.8,15.2,13.5,11.7,15.6,16.0,1.162,1.128,1.148,1.141,1.137,1.156,1.167,1.174,58.1,56.4,57.4,57.0,56.8,57.8,58.4,58.7,41.9,43.6,42.6,43.0,43.2,42.2,41.7,41.3,16.0,1.167,58.7
DE,Delaware,12.6,9.9,17.8,14.7,9.5,14.5,16.2,1.142,1.108,1.174,1.151,1.111,1.146,1.169,1.184,57.1,55.4,58.7,57.6,55.6,57.3,58.5,59.2,42.9,44.6,41.3,42.4,44.4,42.7,41.6,40.8,16.2,1.169,59.2
FL,Florida,-0.5,-2.6,-4.4,-3.0,-3.2,-7.8,-11.6,1.015,0.978,0.967,0.982,0.996,0.934,0.890,0.840,50.7,48.9,48.4,49.1,49.8,46.7,44.5,42.0,49.3,51.1,51.6,50.9,50.2,53.3,55.5,58.0,-11.6,0.890,42.0
GA,Georgia,-12.2,-14.2,-12.4,-11.7,-7.1,-4.2,-0.7,0.898,0.860,0.891,0.894,0.951,0.965,1.004,1.022,44.9,43.0,44.5,44.7,47.5,48.3,50.2,51.1,55.1,57.0,55.5,55.3,52.5,51.7,49.8,48.9,-0.7,1.004,51.1
HI,Hawaii,17.8,11.1,38.0,38.8,30.2,25.0,24.6,1.159,1.122,1.354,1.378,1.270,1.232,1.254,1.244,58.0,56.1,67.7,68.9,63.5,61.6,62.7,62.2,42.1,43.9,32.3,31.1,36.5,38.4,37.3,37.8,24.6,1.254,62.2
