abbr,name,lean_2000,lean_2004,lean_2008,lean_2012,lean_2016,lean_2020,lean_2024,ratioD_2000,ratioD_2004,ratioD_2008,ratioD_2012,ratioD_2016,ratioD_2020,ratioD_2024,ratioD_2028,normD_2000,normD_2004,normD_2008,normD_2012,normD_2016,normD_2020,normD_2024,normD_2028,normR_2000,normR_2004,normR_2008,normR_2012,normR_2016,normR_2020,normR_2024,normR_2028,lean_latest,ratio_latest,normD_2028
AL,Alabama,-15.4,-23.3,-28.8,-26.0,-29.7,-29.91,-29.0,0.8635,0.7654,0.7343,0.7534,0.7156,0.7134,0.706,0.7065,43.175000000000004,38.269999999999996,36.714999999999996,37.669999999999995,35.78,35.67,35.3,35.325,56.824999999999996,61.730000000000004,63.285000000000004,62.330000000000005,64.22,64.33,64.7,64.675,-29.0,0.706,35.325
AK,Alaska,-31.4,-23.2,-28.7,-17.9,-16.7,-14.51,-11.66,0.5747,0.7378,0.7181,0.8016,0.7613,0.8343,0.857,0.8901,28.735,36.89,35.905,40.08,38.065,41.715,42.85,44.505,71.265,63.11,64.095,59.92,61.935,58.285,57.15,55.495,-11.66,0.857,44.505
AZ,Arizona,-6.8,-8.1,-15.7,-13.0,-5.6,-4.15,-4.06,0.9293,0.9223,0.8551,0.8758,0.9399,0.9629,0.966,0.9774,46.465,46.115,42.754999999999995,43.79,46.995,48.144999999999996,48.3,48.870000000000005,53.535,53.885,57.245000000000005,56.21,53.005,51.855000000000004,51.7,51.129999999999995,-4.06,0.966,48.870000000000005
AR,Arkansas,-5.9,-7.4,-27.0,-27.6,-28.9,-32.07,-29.17,0.9528,0.9254,0.7366,0.7243,0.7009,0.6783,0.695,0.6971,47.64,46.27,36.83,36.215,35.045,33.915,34.75,34.855000000000004,52.36,53.73,63.17,63.785,64.955,66.08500000000001,65.25,65.145,-29.17,0.695,34.855000000000004
CA,California,11.2,12.3,16.8,19.2,28.1,24.71,21.61,1.1103,1.1282,1.1564,1.1831,1.2856,1.2384,1.21,1.1841,55.515,56.410000000000004,57.82000000000001,59.155,64.28,61.919999999999995,60.5,59.205,44.485,43.589999999999996,42.17999999999999,40.845,35.72,38.080000000000005,39.5,40.795,21.61,1.21,59.205
CO,Colorado,-8.9,-2.3,1.8,1.5,2.9,9.05,12.46,0.8807,0.9772,1.017,1.0113,1.003,1.0731,1.12,1.1729,44.035000000000004,48.86,50.849999999999994,50.565000000000005,50.14999999999999,53.654999999999994,56.00000000000001,58.645,55.964999999999996,51.14,49.150000000000006,49.434999999999995,49.85000000000001,46.345000000000006,43.99999999999999,41.355,12.46,1.12,58.645
CT,Connecticut,17.0,12.8,15.2,13.5,11.7,15.58,15.98,1.1615,1.1283,1.1484,1.1408,1.1365,1.156,1.167,1.1743,58.074999999999996,56.415000000000006,57.42,57.04,56.825,57.8,58.35,58.714999999999996,41.925000000000004,43.584999999999994,42.58,42.96,43.175,42.2,41.65,41.285000000000004,15.98,1.167,58.714999999999996
DE,Delaware,12.6,9.9,17.8,14.7,9.5,14.53,16.21,1.1421,1.1082,1.174,1.1511,1.1112,1.1459,1.169,1.1839,57.105,55.410000000000004,58.699999999999996,57.555,55.559999999999995,57.294999999999995,58.45,59.195,42.895,44.589999999999996,41.300000000000004,42.445,44.440000000000005,42.705000000000005,41.55,40.805,16.21,1.169,59.195
FL,Florida,-0.5,-2.6,-4.4,-3.0,-3.2,-7.81,-11.63,1.0145,0.9783,0.9672,0.9822,0.996,0.9336,0.89,0.8402,50.724999999999994,48.915,48.36,49.11,49.8,46.68,44.5,42.01,49.275000000000006,51.085,51.64,50.89,50.2,53.32,55.5,57.99,-11.63,0.89,42.01
GA,Georgia,-12.2,-14.2,-12.4,-11.7,-7.1,-4.21,-0.73,0.8977,0.8595,0.8906,0.8938,0.9506,0.9651,1.004,1.0223,44.885000000000005,42.975,44.529999999999994,44.690000000000005,47.53,48.254999999999995,50.2,51.115,55.114999999999995,57.025,55.470000000000006,55.309999999999995,52.47,51.745000000000005,49.8,48.885,-0.73,1.004,51.115
HI,Hawaii,17.8,11.1,38.0,38.8,30.2,25.01,24.58,1.159,1.122,1.3543,1.3777,1.2701,1.2318,1.254,1.2443,57.95,56.10000000000001,67.715,68.88499999999999,63.505,61.59,62.7,62.214999999999996,42.05,43.89999999999999,32.285,31.11500000000001,36.495,38.41,37.3,37.785000000000004,24.58,1.254,62.214999999999996
ID,Idaho,-40.1,-35.7,-32.6,-35.8,-33.8,-35.22,-35.03,0.5741,0.6287,0.684,0.6407,0.5726,0.645,0.629,0.6339,28.705000000000002,31.435000000000002,34.2,32.035000000000004,28.63,32.25,31.45,31.695,71.295,68.565,65.8,67.965,71.37,67.75,68.55,68.305,-35.03,0.629,31.695
IL,Illinois,11.5,12.7,17.9,13.0,15.0,12.54,12.37,1.1342,1.1389,1.1735,1.1313,1.1627,1.1224,1.125,1.1201,56.71000000000001,56.945,58.675,56.565,58.135000000000005,56.120000000000005,56.25,56.005,43.28999999999999,43.055,41.325,43.435,41.864999999999995,43.879999999999995,43.75,43.995,12.37,1.125,56.005
IN,Indiana,-16.1,-18.2,-6.2,-14.1,-21.1,-20.51,-17.49,0.852,0.8157,0.9466,0.8628,0.7867,0.799,0.82,0.8204,42.6,40.785,47.33,43.14,39.335,39.95,41.0,41.02,57.4,59.215,52.67,56.86,60.665,60.05,59.0,58.98,-17.49,0.82,41.02
IA,Iowa,-0.2,1.7,2.3,1.9,-11.4,-12.65,-11.74,0.9804,1.0228,1.0221,1.0211,0.8696,0.8709,0.88,0.8757,49.02,51.13999999999999,51.105000000000004,51.05499999999999,43.480000000000004,43.545,44.0,43.785000000000004,50.98,48.86000000000001,48.894999999999996,48.94500000000001,56.519999999999996,56.455,56.0,56.214999999999996,-11.74,0.88,43.785000000000004
KS,Kansas,-21.3,-23.0,-22.1,-25.6,-22.6,-19.1,-14.65,0.7736,0.7608,0.7894,0.7462,0.7509,0.8107,0.849,0.897,38.68,38.04,39.47,37.31,37.545,40.535,42.449999999999996,44.85,61.32,61.96,60.53,62.69,62.455,59.465,57.550000000000004,55.15,-14.65,0.849,44.85
KY,Kentucky,-15.6,-17.4,-23.4,-26.6,-31.8,-30.39,-29.06,0.8596,0.8245,0.7803,0.7424,0.6807,0.7052,0.702,0.7052,42.980000000000004,41.225,39.015,37.12,34.035,35.260000000000005,35.099999999999994,35.260000000000005,57.019999999999996,58.775,60.985,62.88,65.965,64.74,64.9,64.74,-29.06,0.702,35.260000000000005
LA,Louisiana,-8.2,-12.1,-25.9,-21.1,-21.7,-23.06,-20.54,0.9322,0.877,0.7569,0.797,0.8008,0.7774,0.791,0.7922,46.61,43.85,37.845,39.85,40.04,38.87,39.550000000000004,39.61,53.39,56.15,62.155,60.15,59.96,61.13,60.449999999999996,60.39,-20.54,0.791,39.61
ME,Maine,4.6,11.4,10.1,11.4,0.9,4.62,8.41,1.0197,1.1129,1.0937,1.0875,0.9652,1.0246,1.084,1.1288,50.985,55.645,54.684999999999995,54.37499999999999,48.26,51.23,54.2,56.44,49.015,44.355,45.315000000000005,45.62500000000001,51.74,48.77,45.8,43.56,8.41,1.084,56.44
MD,Maryland,15.7,15.4,18.2,22.2,24.4,28.76,30.01,1.1735,1.1628,1.1736,1.2172,1.2565,1.275,1.296,1.3073,58.675,58.14,58.68,60.86,62.824999999999996,63.74999999999999,64.8,65.365,41.325,41.86,41.32,39.14,37.175000000000004,36.25000000000001,35.2,34.635000000000005,30.01,1.296,65.365
MA,Massachusetts,26.8,27.5,18.6,19.3,25.2,29.01,26.67,1.2283,1.28,1.163,1.1851,1.2298,1.2703,1.267,1.2744,61.415,64.0,58.15,59.255,61.49,63.515,63.349999999999994,63.72,38.585,36.0,41.85,40.745,38.51,36.485,36.650000000000006,36.28,26.67,1.267,63.72
MI,Michigan,4.7,5.8,9.2,5.6,-2.2,-1.67,0.05,1.0653,1.0643,1.0885,1.0647,0.9846,0.9874,1.0,0.9989,53.26499999999999,53.215,54.425000000000004,53.235,49.230000000000004,49.370000000000005,50.0,49.945,46.73500000000001,46.785,45.574999999999996,46.765,50.769999999999996,50.629999999999995,50.0,50.055,0.05,1.0,49.945
MN,Minnesota,1.9,5.9,3.1,3.8,-0.5,2.67,5.71,0.9952,1.0614,1.0246,1.0341,0.9673,1.0221,1.054,1.0853,49.76,53.06999999999999,51.23,51.705,48.365,51.105000000000004,52.7,54.26499999999999,50.24,46.93000000000001,48.77,48.295,51.635,48.894999999999996,47.3,45.73500000000001,5.71,1.054,54.26499999999999
MS,Mississippi,-17.4,-17.3,-20.4,-15.4,-19.8,-20.99,-21.42,0.8455,0.8343,0.815,0.86,0.8355,0.8009,0.786,0.7698,42.275,41.715,40.75,43.0,41.775,40.044999999999995,39.300000000000004,38.49,57.725,58.285,59.25,57.0,58.225,59.955000000000005,60.699999999999996,61.51,-21.42,0.786,38.49
MO,Missouri,-3.8,-4.8,-7.3,-13.3,-20.7,-19.84,-16.94,0.9781,0.9577,0.9343,0.8717,0.7942,0.8077,0.829,0.8355,48.905,47.885,46.715,43.585,39.71,40.385,41.449999999999996,41.775,51.095,52.115,53.285,56.415,60.29,59.615,58.550000000000004,58.225,-16.94,0.829,41.775
MT,Montana,-25.5,-18.1,-9.4,-17.6,-22.6,-20.82,-18.46,0.6931,0.8012,0.8959,0.819,0.7484,0.791,0.796,0.7992,34.655,40.06,44.795,40.949999999999996,37.419999999999995,39.550000000000004,39.800000000000004,39.96,65.345,59.94,55.205,59.050000000000004,62.580000000000005,60.449999999999996,60.199999999999996,60.04,-18.46,0.796,39.96
NE,Nebraska,-29.4,-30.8,-22.1,-25.7,-27.0,-23.6,-19.1,0.6908,0.6789,0.7884,0.7469,0.7018,0.764,0.804,0.8435,34.54,33.945,39.42,37.345,35.089999999999996,38.2,40.2,42.175000000000004,65.46000000000001,66.055,60.58,62.655,64.91,61.8,59.8,57.824999999999996,-19.1,0.804,42.175000000000004
NV,Nevada,-4.0,-0.2,5.2,2.8,0.4,-2.06,-1.63,0.9544,0.9946,1.0452,1.0283,0.998,0.9764,0.983,0.9784,47.72,49.730000000000004,52.26,51.415,49.9,48.82,49.15,48.92,52.28,50.269999999999996,47.74,48.585,50.1,51.18,50.85,51.08,-1.63,0.983,48.92
NH,New Hampshire,-1.8,3.7,2.5,1.6,-1.7,2.9,4.25,0.9723,1.0429,1.0259,1.0209,0.9753,1.0282,1.048,1.0715,48.615,52.144999999999996,51.295,51.044999999999995,48.765,51.41,52.400000000000006,53.574999999999996,51.385,47.855000000000004,48.705,48.955000000000005,51.235,48.59,47.599999999999994,46.425000000000004,4.25,1.048,53.574999999999996
NJ,New Jersey,15.3,9.1,8.4,13.8,12.1,11.48,7.38,1.1659,1.0994,1.0855,1.1459,1.1549,1.1184,1.076,1.0497,58.294999999999995,54.97,54.275,57.294999999999995,57.745000000000005,55.92,53.800000000000004,52.48500000000001,41.705000000000005,45.03,45.725,42.705000000000005,42.254999999999995,44.08,46.199999999999996,47.51499999999999,7.38,1.076,52.48500000000001
NM,New Mexico,-0.4,1.6,7.9,6.3,6.3,6.34,7.47,0.9952,1.0189,1.0786,1.0408,1.005,1.059,1.073,1.0933,49.76,50.94499999999999,53.93,52.04,50.24999999999999,52.949999999999996,53.65,54.665,50.24,49.05500000000001,46.07,47.96,49.75000000000001,47.050000000000004,46.35,45.335,7.47,1.073,54.665
NY,New York,24.5,20.7,19.5,24.3,20.3,18.66,14.07,1.1766,1.1661,1.1402,1.1934,1.1692,1.178,1.157,1.1562,58.830000000000005,58.30499999999999,57.010000000000005,59.67,58.46,58.9,57.85,57.809999999999995,41.169999999999995,41.69500000000001,42.989999999999995,40.33,41.54,41.1,42.15,42.190000000000005,14.07,1.157,57.809999999999995
NC,North Carolina,-13.3,-10.0,-6.9,-5.9,-5.6,-5.79,-1.74,0.8963,0.9054,0.942,0.9496,0.9617,0.9478,0.986,0.9868,44.815,45.269999999999996,47.099999999999994,47.48,48.085,47.39,49.3,49.34,55.185,54.730000000000004,52.900000000000006,52.52,51.915,52.61,50.7,50.66,-1.74,0.986,49.34
ND,North Dakota,-28.1,-25.0,-15.9,-23.5,-37.8,-37.8,-34.98,0.6867,0.7375,0.8457,0.76,0.5671,0.6195,0.631,0.6342,34.335,36.875,42.285000000000004,38.0,28.355000000000004,30.975,31.55,31.71,65.66499999999999,63.125,57.714999999999996,62.0,71.645,69.025,68.45,68.28999999999999,-34.98,0.631,31.71
OH,Ohio,-4.1,0.3,-2.6,-0.9,-10.1,-12.48,-9.74,0.9647,1.0118,0.9762,0.9951,0.9072,0.8825,0.909,0.9058,48.235,50.59,48.809999999999995,49.755,45.36,44.125,45.45,45.29,51.765,49.41,51.190000000000005,50.245,54.64,55.875,54.55,54.71,-9.74,0.909,45.29
OK,Oklahoma,-22.4,-28.8,-38.4,-37.5,-38.4,-37.53,-32.79,0.7983,0.7153,0.6511,0.6526,0.6026,0.6298,0.66,0.6824,39.915,35.765,32.555,32.629999999999995,30.130000000000003,31.490000000000002,33.0,34.12,60.085,64.235,67.445,67.37,69.87,68.50999999999999,67.0,65.88,-32.79,0.66,34.12
OR,Oregon,0.0,6.5,9.1,8.2,9.0,11.63,15.77,0.9755,1.0667,1.0756,1.0653,1.0429,1.1012,1.144,1.1845,48.775,53.335,53.779999999999994,53.26499999999999,52.144999999999996,55.059999999999995,57.199999999999996,59.22500000000001,51.225,46.665,46.220000000000006,46.73500000000001,47.855000000000004,44.940000000000005,42.800000000000004,40.77499999999999,15.77,1.144,59.22500000000001
PA,Pennsylvania,3.7,4.9,3.1,1.5,-2.7,-3.28,-0.24,1.0513,1.0579,1.0327,1.0228,0.9967,0.9755,1.007,1.0067,52.565,52.895,51.635,51.13999999999999,49.835,48.775,50.349999999999994,50.334999999999994,47.435,47.105,48.365,48.86000000000001,50.165,51.225,49.650000000000006,49.665000000000006,-0.24,1.007,50.334999999999994
RI,Rhode Island,28.6,23.1,20.7,23.6,13.5,16.33,15.25,1.2669,1.2345,1.1915,1.2315,1.1331,1.1602,1.149,1.1505,63.345,61.724999999999994,59.575,61.575,56.655,58.01,57.45,57.525000000000006,36.655,38.275000000000006,40.425,38.425,43.345,41.99,42.55,42.474999999999994,15.25,1.149,57.525000000000006
SC,South Carolina,-16.4,-14.7,-16.2,-14.4,-16.2,-16.13,-16.4,0.8497,0.8497,0.8509,0.8659,0.8471,0.8469,0.835,0.8328,42.485,42.485,42.545,43.295,42.355,42.345,41.75,41.64,57.515,57.515,57.455,56.705,57.645,57.655,58.25,58.36,-16.4,0.835,41.64
SD,South Dakota,-23.2,-19.1,-15.7,-21.9,-31.8,-30.61,-27.72,0.7803,0.7986,0.8481,0.783,0.661,0.6945,0.709,0.7142,39.015,39.93,42.405,39.15,33.050000000000004,34.725,35.449999999999996,35.709999999999994,60.985,60.07,57.595,60.85,66.94999999999999,65.275,64.55000000000001,64.29,-27.72,0.709,35.709999999999994
TN,Tennessee,-4.3,-11.9,-22.3,-24.3,-28.0,-27.66,-28.25,0.9823,0.8834,0.7928,0.7675,0.723,0.7306,0.713,0.715,49.114999999999995,44.17,39.64,38.375,36.15,36.53,35.65,35.75,50.885000000000005,55.83,60.36,61.625,63.85,63.47,64.35,64.25,-28.25,0.713,35.75
